pert_id	cmap_name
BRD-U44432129	BRD-U44432129
BRD-K81418486	vorinostat
BRD-K70511574	HMN-214
BRD-A61304759	tanespimycin
BRD-K85606544	neratinib
BRD-A90490067	fulvestrant
BRD-A45498368	WYE-125132
BRD-K52911425	GDC-0941
GPR151_GALP	GPR151_GALP
BRD-K26863634	BIX-01338
BRD-A55453956	compound-e
BRD-K83189926	UNC-1215
BRD-K88551539	CAY-10585
BRD-K76674262	BRD-K76674262
BRD-K43880410	pregnenolone
BRD-A97437073	rosiglitazone
BRD-K19687926	lapatinib
BRD-K66175015	afatinib
BRD-K43389698	BMS-387032
BRD-K49865102	PD-0325901
BRD-K86787118	BAFILOMYCIN-A1
BRD-K40175214	torin-1
BRD-K70401845	erlotinib
BRD-K78431006	crizotinib
BRD-A74980173	gatifloxacin
BRD-K37439386	alfaxalone
BRD-K37890730	camptothecin
BRD-K09602097	forskolin
BRD-K68065987	MK-2206
BRD-A72498772	BRD-A72498772
BRD-K51544265	cabozantinib
BRD-K56195681	losmapimod
BRD-K75295174	alisertib
BRD-K63068307	ZSTK-474
BRD-K68488863	ENMD-2076
BRD-K93023739	BRD-K93023739
SRT3657	SRT-3657
BRD-K59146805	AZ-3146
BRD-A12230535	nutlin-3
BRD-K54343811	BRD-K54343811
BRD-K29313308	HDAC3-selective
BRD-K37682401	piromidic-acid
BRD-K84937637	sirolimus
BRD-K28307902	flutamide
BRD-K07572174	curcumin
BRD-K57080016	selumetinib
BRD-U51907271	pen
BRD-K58479490	BRD-K58479490
BRD-A89859721	BRD-A89859721
BRD-K63425657	NP-010914
BRD-K17119186	BAS-00535043
BRD-K32292990	CGP-53353
BRD-K48935217	epothilone
BRD-K07403598	CAY-10470
BRD-K67578145	GDC-0879
BRD-K91461129	BRD-K91461129
BRD-K63455741	BRD-K63455741
BRD-K88378636	withaferin-a
BRD-K53737926	amitriptyline
BRD-K00959089	thenoyltrifluoroacetone
BRD-K08727137	alfadolone
BRD-K96282009	guaiacol
BRD-K11153516	iniparib
BRD-A82892199	alpha-tocopherol
BRD-K80738081	resveratrol
BRD-K27305650	LY-294002
BRD-U50120867	little-len
BRD-U81472618	L-23
BRD-K87122641	naringeninic-acid
BRD-K19284129	salvinorin-a
BRD-K21680192	mitoxantrone
BRD-K85822033	BRD-K85822033
BRD-K80368509	BRD-K80368509
BRD-K58772419	AZD-6482
BRD-A76019558	ketoconazole
BRD-K56450018	BRD-K56450018
BRD-K41889859	BRD-K41889859
BRD-K92038420	BRD-K92038420
BRD-K30633722	BRD-K30633722
BRD-K98036459	BRD-K98036459
BRD-U62871928	met-enkephalinrf
BRD-M07851152	BRD-M07851152
BRD-K59023263	BRD-K59023263
BRD-K30842649	BRD-K30842649
BRD-K09132007	D-4476
BRD-K59369769	tozasertib
BRD-K38292946	BRD-K38292946
BRD-A18497530	5-iodotubercidin
BRD-K42991516	BRD-K42991516
BRD-K62627073	erismo-ester
BRD-K64835161	ML-167
BRD-K24616672	procaine
BRD-K36862742	hydroflumethiazide
BRD-K64514229	toltrazuril
BRD-K11298197	florfenicol
