Gene_symbol	Gene_Ensembl_ID	Gene_Entrez_ID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6
PERM1	ENSG00000187642	84808	20	10	500	42	34	8
HES4	ENSG00000188290	57801	1224	61	596	1306	545	680
ISG15	ENSG00000187608	9636	1085	415	368	1111	586	736
AGRN	ENSG00000188157	375790	8580	3938	9647	7925	4442	6257
RNF223	ENSG00000237330	401934	17	306	2351	42	455	9
PKM	ENSG00000067225	5315	264	162	342	238	260	240
TTLL10	ENSG00000162571	254173	8	7	45	6	9	5
TNFRSF18	ENSG00000186891	8784	22	142	136	9	15	11
TNFRSF4	ENSG00000186827	7293	28	62	46	21	67	27
SDF4	ENSG00000078808	51150	5906	4326	5842	5242	4686	8748
B3GALT6	ENSG00000176022	126792	1126	589	1228	723	607	889
