Gene_symbol	Gene_Ensembl_ID	Gene_Entrez_ID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6
PERM1	ENSG00000187642	84808	0.075382284	0.045504044	1.745690727	0.203972178	0.120795028	0.038714234
HES4	ENSG00000188290	57801	17.92589181	0.996927055	7.876208371	27.36250628	7.425336428	12.36118251
ISG15	ENSG00000187608	9636	21.32758787	9.553629958	6.716386314	31.29978406	11.20921891	18.14469585
AGRN	ENSG00000188157	375790	13.54177283	7.561055108	13.63699063	17.20943063	6.553148315	12.52523735
RNF223	ENSG00000237330	401934	0.109261421	2.364753894	13.63926719	0.370491215	2.761548896	0.070065837
PKM	ENSG00000067225	5315	2.318263721	1.452994679	3.376976741	3.325152878	1.906988206	2.26094344
TTLL10	ENSG00000162571	254173	0.042755252	0.045141221	0.22356641	0.046012884	0.045288576	0.030824905
TNFRSF18	ENSG00000186891	8784	0.239365209	1.891583187	1.547543496	0.229889962	0.183681313	0.226250999
TNFRSF4	ENSG00000186827	7293	0.343959764	0.895763833	0.516022869	0.352479879	0.77498464	0.41706524
SDF4	ENSG00000078808	51150	37.60898052	33.82767606	32.99016268	45.92448831	27.68133601	71.59355525
B3GALT6	ENSG00000176022	126792	4.837634617	3.058932864	4.746934393	4.287877173	2.451239691	4.765730298
